name,category,instructions,glass,glass-size,ingredients,measurements
Chateau Briand's Rum Cow,Cocktail Classics,Blend and strain into a collins glass.,Collins Glass,14 to 16 ounces," Dark rum,  Sugar,  Bitters,  Milk","1 1/4 oz  Dark rum, 1 oz  Sugar, 2 oz  Bitters, 3/4 oz  Milk"
Champagne Velvet,Cocktail Classics,"See Black Velvet recipe on page 54.  Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. ",Champagne Flute,6 to 8 ounces," Chilled Stout,  Chilled Champagne","5 oz  Chilled Stout, 5 oz  Chilled Champagne"
Pink Pussycat,Vodka,Pour ingredients into ice-filled highball glass and stir.,Highball Glass,7 to 10 ounces," Vodka,  Pineapple or grapefruit juice,  Grenadine","1 1/2 oz  Vodka, 2 oz  Pineapple or grapefruit juice, 1/2 oz  Grenadine"
Back Porch Swizzle,Whiskies,"Pour first four ingredients in crushed ice-filled highball glass. With barspoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. Float Chartreuse on top, and garnish with mint.",Highball Glass,7 to 10 ounces," whiskey,  Dry Vermouth,  Pineapple Juice,  Ginger beer,   mint sprig","1 1/2 oz  whiskey, 1/2 oz  Dry Vermouth, 1 oz  Pineapple Juice, 1 oz  Ginger beer,  Green Chartreuse ,    mint sprig"
Canadian Pineapple,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes. Add a Stick of pineapple.,Old-Fashioned Glass,6 to 8 ounces," Canadian whisky,  Pineapple Juice,  Lemon Juice,  Maraschino","1 1/2 oz  Canadian whisky, 1 oz  Pineapple Juice, 1 oz  Lemon Juice, 1/2 oz  Maraschino"
Calm Voyage,Cocktail Classics,Put all ingredients in blender with half a cup of crushed ice. Blend at low speed and pour into champagne flute.,Champagne Flute,6 to 8 ounces," Strega,  Light Rum,  Passion Fruit Syrup,  Lemon Juice,  Egg White","1/2 oz  Strega, 1/2 oz  Light Rum, 1 oz  Passion Fruit Syrup, 2 oz  Lemon Juice, 1/2 oz  Egg White"
Pink Lemonade,Vodka,Shake with ice and strain into ice-filled Collins glass. Garnish with lemon.,Collins Glass,14 to 16 ounces," Citrus-flavored vodka,  Triple Sec,  Lemon juice,  Lemon juice,  Simple Syrup,  Cranberry Juice, lemon wheel","1 1/2 oz  Citrus-flavored vodka, 1/4 oz  Triple Sec, 1/4 oz  Lemon juice, 1/4 oz  Lemon juice, 1/4 oz  Simple Syrup, 2 oz  Cranberry Juice, lemon wheel"
Caledonia,Cocktail Classics,Shake well with ice and Strain into old-fashioned glass over ice cubes. Sprinkle cinnamon on top.,Old-Fashioned Glass,6 to 8 ounces," Creme de Cacao (Brown),  Brandy,  Milk,  Egg Yolk","1 oz  Creme de Cacao (Brown), 1 oz  Brandy, 1 oz  Milk, 1 oz  Egg Yolk"
Caf_ di Amaretto ,Cocktail Classics,Add 1 oz. Amaretto to a cup of black coffee. Top with whipped cream.,Mug,," Hot Black Coffee,  Amaretto,  Whipped cream","1 oz  Hot Black Coffee, 1 oz  Amaretto,   Whipped cream"
Cafe De Paris Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Egg White,  Anis,  Light cream,  Gin","1 oz  Egg White, 1 oz  Anis, 1 oz  Light cream, 1 1/2 oz  Gin"
Aztec's Mark,Whiskies,Stir with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces," whiskey,  White creme de cacao,  Benedictine,  Hot red pepper sauce","1 1/2 oz  whiskey, 1/2 oz  White creme de cacao, 1/4 oz  Benedictine, 2 oz  Hot red pepper sauce,  Orange twist "
Fontainebleau Special,Brandy,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Brandy,  Anisette,  Dry Vermouth","1 oz  Brandy, 1 oz  Anisette, 1/2 oz  Dry Vermouth"
Suntan,Cocktail Classics,Pour over ice in a highball glass. Fill with club soda.,Highball Glass,7 to 10 ounces," Hot Shot Tropical Fruit Liqueur,  Orange Juice","2 oz  Hot Shot Tropical Fruit Liqueur, 2 oz  Orange Juice"
Sunburn,Cocktail Classics,Pour over ice in a highball glass. Fill with club soda. Add a dash of grenadine for color.,Highball Glass,7 to 10 ounces," Hot Shot Tropical Fruit Liqueur,  Grapefruit Juice","2 oz  Hot Shot Tropical Fruit Liqueur, 2 oz  Grapefruit Juice"
Suissesse Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Anisette,  Egg White","2 oz  Anisette, 1 oz  Egg White"
Strawberry Sunries,Cocktail Classics,Pour over ice in a highball glass. Fill with orange juice. Garnish with a  strawberry.,Highball Glass,7 to 10 ounces," Strawberry schnapps,  Grenadine","2 oz  Strawberry schnapps, 1/2 oz  Grenadine"
Autumn Leaves,Whiskies,Stir with ice and strain into ice-filled old-fashioned glass. Add orange twist.,Old-Fashioned Glass,6 to 8 ounces," Straight rye whiskey,  Apple Brandy,  Sweet Vermouth,  Strega,  Angostura Bitters,  Orange twist","3/4 oz  Straight rye whiskey, 3/4 oz  Apple Brandy, 3/4 oz  Sweet Vermouth, 1/4 oz  Strega, 2 oz  Angostura Bitters,   Orange twist"
Pickled Pink,Vodka,Shake with ice and strain into cocktail glass. Garnish with dill.,Cocktail Glass,6 or more ounces," Vodka,  Aquavit,  Dill pickle brine,  Angostura Bitters","2 oz  Vodka, 1 oz  Aquavit, 1/2 oz  Dill pickle brine, 2 oz  Angostura Bitters,  Dill sprig "
Aquarius,Whiskies,Shake with ice and strain into old-fashioned glass over ice.,Old-Fashioned Glass,6 to 8 ounces," Blended Scotch Whiskey,  cherry-flavored brandy,  Cranberry Juice","1 1/2 oz  Blended Scotch Whiskey, 1/2 oz  cherry-flavored brandy, 1 oz  Cranberry Juice"
Soul Kiss Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Orange Juice,  Dubonnet,  Dry Vermouth,  Bourbon","1 1/2 oz  Orange Juice, 1 1/2 oz  Dubonnet, 3/4 oz  Dry Vermouth, 3/4 oz  Bourbon"
Pickled Martini,Vodka,Stir with ice and strain into chilled cocktail glass. Garnish with pickle.,Cocktail Glass,6 or more ounces," Vodka,  Dry Vermouth,  Sweet pickle brine,  Sweet pickle slice","2 oz  Vodka, 1/4 oz  Dry Vermouth, 3/4 oz  Sweet pickle brine, 1  Sweet pickle slice"
Sloe Gin Flip,Cocktail Classics,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces," Whole Egg,  Powdered Sugar,  Sloe gin,","1 oz  Whole Egg, 1 oz  Powdered Sugar, 1 oz  Sloe gin, 2 oz  Light Cream (if desired)"
Angel's Share,Whiskies,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces," whiskey,  Amaro,  Creme de Cassis,  Orange Bitters","1 1/2 oz  whiskey, 1/2 oz  Amaro, 1/4 oz  Creme de Cassis, 1 oz  Orange Bitters,  Lemon twist "
Silver Stallion Fizz,Cocktail Classics,Shake gin and ice cream with ice and strain into highball glass. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Vanilla Ice Cream,  Gin,  Carbonated Water","1 oz  Vanilla Ice Cream, 2 oz  Gin,   Carbonated Water"
Silver King Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Egg White,  Lemon Juice,  Gin,  Powdered Sugar,  Orange Bitters","1 oz  Egg White, 1/4 oz  Lemon Juice, 1 1/2 oz  Gin, 1/2 oz  Powdered Sugar, 2 oz  Orange Bitters"
American Trilogy,Whiskies,"Muddle sugar cube in mixer glass. Add whiskey, applejack, and ice. Stir and strain into chilled old-fashioned glass. Add orange twist.",Old-Fashioned Glass,6 to 8 ounces," Brown sugar cube,  Straight rye whiskey,  Applejack,  Orange twist","1 oz  Brown sugar cube, such as Demerara, 1 oz  Straight rye whiskey, 1 oz  Applejack,   Orange twist"
Silver Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Gin,  Egg White","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 2 oz  Gin, 1 oz  Egg White,  Carbonated Water "
Sherry Twist Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass. Top with pinch of cinnamon and a twist of orange peel.,Cocktail Glass,6 or more ounces," Cream sherry,  Brandy,  Dry Vermouth,  Triple Sec,  Lemon Juice","1 oz  Cream sherry, 1/2 oz  Brandy, 1/2 oz  Dry Vermouth, 1/2 oz  Triple Sec, 1/2 oz  Lemon Juice"
Sherry Sangaree,Cocktail Classics,"In an old-fashioned glass, dissolve powdered sugar in water, add sherry, and stir. Add ice cubes and a splash of carbonated water, leaving enough room on which to float port. Add port. Sprinkle lightly with nutmeg.",Old-Fashioned Glass,6 to 8 ounces," Powdered Sugar,  Water,  Cream sherry,  Carbonated Water,  Port","1/2 oz  Powdered Sugar, 1 oz  Water, 2 oz  Cream sherry,   Carbonated Water, 1 oz  Port"
Sherry Milk Punch,Cocktail Classics,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Collins Glass,14 to 16 ounces," Powdered Sugar,  Cream sherry","1 oz  Powdered Sugar, 2 oz  Cream sherry, 16 Milk "
Petit Zinc,Vodka,Shake with ice and strain into chilled cocktail glass. Garnish with orange.,Cocktail Glass,6 or more ounces," Vodka,  Triple Sec,  Sweet Vermouth,  Orange juice","1 oz  Vodka, 1/2 oz  Triple Sec, 1/2 oz  Sweet Vermouth, 1/2 oz  Orange juice,  Orange wedge "
Sherry Flip,Cocktail Classics,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces," Whole Egg,  Powdered Sugar,  Cream sherry,","1 oz  Whole Egg, 1 oz  Powdered Sugar, 1 1/2 oz  Cream sherry, 2 oz  Light Cream (if desired)"
Sherry-and-Egg Cocktail,Cocktail Classics,"Place an egg in a cocktail glass, being careful not to break the yolk. Add 2 oz. cream sherry.",Cocktail Glass,6 or more ounces, cream sherry,"1 egg , 2 oz  cream sherry"
Americana,Whiskies,Stir first three ingredients in ice-filled Collins glass. Fill with sparkling wine. Garnish with peach.,Collins Glass,14 to 16 ounces," Tennessee whiskey,  Simple Syrup,  Angostura Bitters,  Chilled American sparkling wine","1 oz  Tennessee whiskey, 1/2 oz  Simple Syrup, 2 oz  Angostura Bitters,   Chilled American sparkling wine,  Peach slice "
Allegheny,Whiskies,Shake with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces," whiskey,  Dry Vermouth,  Blackberry-flavored brandy,  Lemon juice","1 oz  whiskey, 1 oz  Dry Vermouth, 1/2 oz  Blackberry-flavored brandy, 1/2 oz  Lemon juice,  Lemon twist "
Sevilla Cocktail,Cocktail Classics,Shake with ice and strain into sour glass.,Sour Glass,5 to 6 ounces," Powdered Sugar,  Whole Egg,  Port,  Light Rum","1/2 oz  Powdered Sugar, 1 oz  Whole Egg, 1 oz  Port, 1 oz  Light Rum"
September Morn Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Egg White,  Light Rum,  Lime Juice,  Grenadine","1 oz  Egg White, 1 oz  Light Rum, 1/2 oz  Lime Juice, 1 oz  Grenadine"
Peach Iced Tea,Vodka,Shake with ice and strain into ice-filled Collins glass. Garnish with peach and lemon.,Collins Glass,14 to 16 ounces," Peach-flavored vodka,  Orange curacao,  Lemon juice,  Honey Syrup,  Iced tea,  Peach slice, lemon wheel","1 1/2 oz  Peach-flavored vodka, 1/2 oz  Orange curacao, 3/4 oz  Lemon juice, 1/2 oz  Honey Syrup, 2 oz  Iced tea,   Peach slice, lemon wheel"
Fantasio Cocktail,Brandy,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Brandy,  Dry Vermouth,  White creme de menthe,  Maraschino liqueur","1 oz  Brandy, 3/4 oz  Dry Vermouth, 1 oz  White creme de menthe, 1 oz  Maraschino liqueur"
Scotch Bird Flyer,Cocktail Classics,Shake with ice and strain into champagne flute.,Champagne Flute,6 to 8 ounces," Scotch,  Egg Yolk,  Triple Sec,  Powdered Sugar,  Light cream","1 1/2 oz  Scotch, 1 oz  Egg Yolk, 1/2 oz  Triple Sec, 1/2 oz  Powdered Sugar, 1 oz  Light cream"
Algonquin,Whiskies,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Straight rye whiskey,  Dry Vermouth,  Pineapple Juice","1 1/2 oz  Straight rye whiskey, 1 oz  Dry Vermouth, 1 oz  Pineapple Juice"
Savannah,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Orange Juice,  Gin,  White creme de cacao,  Egg White","1/2 oz  Orange Juice, 1 oz  Gin, 1 oz  White creme de cacao, 1 oz  Egg White"
Pink Rose Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Egg White,  Light cream,  Gin","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 1 oz  Egg White, 2 oz  Light cream, 2 oz  Gin"
Ninotchka Cocktail,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  White creme de cacao,  Lemon juice","1 1/2 oz  Vodka, 1/2 oz  White creme de cacao, 1/4 oz  Lemon juice"
Prairie Oyster,Cocktail Classics,Shake with ice and strain into old-fashioned glass over two ice cubes.  Place an egg yolk on top without breaking it. Add a dash of cayenne pepper.,Old-Fashioned Glass,6 to 8 ounces," Brandy,  Worcestershire Sauce,  Catsup,  Vinegar,  Pepper","1 oz  Brandy, 1 oz  Worcestershire Sauce, 1 oz  Catsup, 1 oz  Vinegar, 1 oz  Pepper"
Prairie Chicken,Cocktail Classics,Open egg without breaking the yolk and put in wine glass. Pour gin on top. Add pepper and salt.,Red-Wine Glass,12 to 24 ounces," Gin,  Whole Egg,  Pepper,Salt","1 oz  Gin, 1 oz  Whole Egg,   Pepper and Salt"
Pousse L'Amour,Cocktail Classics,"Pour carefully, in order given, into 2-oz. sherry glass, so that each ingredient floats on preceding one",Sherry Glass,4 to 6 ounces," Maraschino,  Egg Yolk,  Benedictine,  Brandy","1 oz  Maraschino, 1 oz  Egg Yolk, 1/2 oz  Benedictine, 1/2 oz  Brandy"
Puerto Apple,Cocktail Classics,Shake with ice and strain into old-fashioned glass over ice cubes. Decorate with a slice of lime.,Old-Fashioned Glass,6 to 8 ounces," Applejack,  Light Rum,  Lime Juice,  Orgeat Syrup","1 1/2 oz  Applejack, 3/4 oz  Light Rum, 1 oz  Lime Juice, 1 oz  Orgeat Syrup"
Akogare,Whiskies,Shake with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces," Straight rye whiskey,  Ginger syrup,  Cold brewed black tea,  Lemon juice","1 1/2 oz  Straight rye whiskey, 3/4 oz  Ginger syrup, 3/4 oz  Cold brewed black tea, preferably Japanese, 3/4 oz  Lemon juice,  Orange twist "
Prado,Cocktail Classics,Shake with ice and strain into sour glass. Add a slice of lime and a cherry.,Sour Glass,5 to 6 ounces," Tequila,  Lemon Juice,  Maraschino,  Egg White,  Grenadine","1 1/2 oz  Tequila, 3/4 oz  Lemon Juice, 1 oz  Maraschino, 1/2 oz  Egg White, 1 oz  Grenadine"
Port Wine Flip,Cocktail Classics,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.,Sour Glass,5 to 6 ounces," Whole Egg,  Powdered Sugar,  Port,","1 oz  Whole Egg, 1 oz  Powdered Sugar, 1 1/2 oz  Port, 2 oz  Light Cream (if desired)"
Port Wine Cobbler,Cocktail Classics,Dissolve 1 teaspoon powdered sugar in 2 oz. carbonated water; then fill goblet with shaved ice and add 3 oz. port. Stir and decorate with fruits in season. Serve with straws.,Red-Wine Glass,12 to 24 ounces," powdered sugar,  carbonated water, shaved ice,  port","1 tsp  powdered sugar, 2 oz  carbonated water,  shaved ice, 3 oz  port, fruits in season "
Nijinksy Blini,Vodka,Shake first four ingredients with ice. Strain into chilled champagne flute and top with Champagne.,Champagne Flute,6 to 8 ounces," Vodka,  Peach schnapps,  Peach puree,  Lemon juice","1 oz  Vodka, 1 oz  Peach schnapps, 1 oz  Peach puree, 1/4 oz  Lemon juice,  Chilled Champagne "
Affinity Cocktail (whisky),Whiskies,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Blended Scotch Whiskey,  Dry Vermouth,  Sweet Vermouth,  Orange Bitters","1 oz  Blended Scotch Whiskey, 1 oz  Dry Vermouth, 1 oz  Sweet Vermouth, 3 oz  Orange Bitters"
Plain Vermouth Cocktail,Cocktail Classics,See Vermouth Cocktail on page 189.,Cocktail Glass,6 or more ounces," Dry Vermouth,  Sweet Vermouth,  Orange Bitters","1 oz  Dry Vermouth, 1 oz  Sweet Vermouth, 1 oz  Orange Bitters"
Ping-Pong Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Lemon Juice,  Egg White,  Sloe gin","1/4 oz  Lemon Juice, 1 oz  Egg White, 2 oz  Sloe gin"
Moscow Mule,Vodka,Pour vodka and lime juice into copper Moscow Mule mug or standard beer mug. Add ice cubes and fill with ginger beer. Squeeze lime wedge and add to glass.,Beer Mug,10 to 12 ounces," Vodka,  Lemon juice,  Ginger beer,  Lime wedge","1 1/2 oz  Vodka, 1/2 oz  Lemon juice,   Ginger beer,   Lime wedge"
Phoebe Snow,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Dubonnet,  Brandy,  Anis","1 1/2 oz  Dubonnet, 1 1/2 oz  Brandy, 1/2 oz  Anis"
Affinity Cocktail,Whiskies,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Straight rye whiskey,  Maraschino liqueur,  Lemon juice,  Orange Bitters","2 oz  Straight rye whiskey, 3/4 oz  Maraschino liqueur, 3/4 oz  Lemon juice, 2 oz  Orange Bitters,  Orange twist, flamed "
Peggy Cocktail,Cocktail Classics,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Dry Vermouth,  Gin,  Anis,  Dubonnet","3/4 oz  Dry Vermouth, 1 1/2 oz  Gin, 1/4 oz  Anis, 1/4 oz  Dubonnet"
Peach Blow Fizz,Cocktail Classics,Shake with ice and strain into highball glass over ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Light cream,  Gin,  Peach","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 1 oz  Light cream, 2 oz  Gin, 1/4 oz  Peach"
Peach Blossom,Cocktail Classics,Shake with ice and strain into highball glass over ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Gin,  Peach","1 oz  Lemon Juice, 1/2 oz  Powdered Sugar, 2 oz  Gin, 1/2 oz  Peach"
Passion Mimosa,Cocktail Classics,"Pour chilled juice into champagne flute, fill with chilled champagne. Garnish with strawberry.",Champagne Flute,6 to 8 ounces," Chilled Passion Fruit Juice,  Chilled Champagne","2 oz  Chilled Passion Fruit Juice,   Chilled Champagne"
Mocha Express,Vodka,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces," Vodka,  Irish cream liqueur,  Coffee liqueur,  Cold brewed espresso coffee","1 1/2 oz  Vodka, 3/4 oz  Irish cream liqueur, 3/4 oz  Coffee liqueur, 3/4 oz  Cold brewed espresso coffee"
Palmer Cocktail,Cocktail Classics,Stir with ice and strain in cocktail glass.,Cocktail Glass,6 or more ounces," Blended whiskey,  Bitters,  Lemon Juice","2 oz  Blended whiskey, 1 oz  Bitters, 1/2 oz  Lemon Juice"
Mr. 404,Vodka,Shake with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces," Vodka,  Elderflower liqueur,  Lemon juice,  Simple Syrup,  Aperol,  Orange twist","1 1/2 oz  Vodka, 3/4 oz  Elderflower liqueur, 3/4 oz  Lemon juice, 1/2 oz  Simple Syrup, 1/2 oz  Aperol,   Orange twist"
Mountain Cocktail,Cocktail Classics,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces," Egg White,  Lemon Juice,  Dry Vermouth,  Sweet Vermouth,  Blended whiskey","1 oz  Egg White, 1/4 oz  Lemon Juice, 1/4 oz  Dry Vermouth, 1/4 oz  Sweet Vermouth, 1 1/2 oz  Blended whiskey"
Morning Glory Fizz,Cocktail Classics,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7 to 10 ounces," Lemon Juice,  Powdered Sugar,  Egg White,  Anis,  Scotch","1/2 oz  Lemon Juice, 1 oz  Powdered Sugar, 1 oz  Egg White, 1/2 oz  Anis, 2 oz  Scotch"
Adderly Cocktail,Whiskies,Shake with ice and strain into cocktail glass. Flame orange twist and add.,Cocktail Glass,6 or more ounces," Straight rye whiskey,  Maraschino liqueur,  Orange Bitters,  Lemon juice","2 oz  Straight rye whiskey, 3/4 oz  Maraschino liqueur, 2 oz  Orange Bitters, 3/4 oz  Lemon juice,  Orange twist, flamed "
